,ID,Number,LargestIntensity,Origin Time,Location,Latitude,longtitude,Depth,Magnitude,Link
27,20211208004548.0,Local,3.0,2021-12-08 00:45:48,75.3 km NNE of Taitung County Hall,23.37,121.46,34.3,4.2,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1208-004548.html
28,20211207185621.0,Local,3.0,2021-12-07 18:56:21,36.0 km S of Yilan County Hall,24.41,121.74,7.4,3.1,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1207-185621.html
29,20211206210551.0,110,3.0,2021-12-06 21:05:51,33.3 km ENE of Yilan County Hall,24.86,122.06,106.2,5.3,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110110-1206-210551.html
30,20211206162907.0,Local,2.0,2021-12-06 16:29:07,18.3 km NNE of Hualien County Hall,24.15,121.66,28.4,4.0,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1206-162907.html
31,20211202163520.0,Local,3.0,2021-12-02 16:35:20,31.6 km SSW of Hualien County Hall,23.74,121.47,9.3,3.6,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1202-163520.html
32,20211201165705.0,109,3.0,2021-12-01 16:57:05,49.5 km ENE of Taitung County Hall,22.9,121.61,16.5,4.4,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110109-1201-165705.html
33,20211201071746.0,108,4.0,2021-12-01 07:17:46,51.5 km ENE of Taitung County Hall,22.89,121.63,17.8,4.6,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110108-1201-071746.html
34,20211130094500.0,Local,3.0,2021-11-30 09:44:55,31.1 km SSE of Yilan County Hall,24.46,121.86,22.7,3.6,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1130-094455.html
35,20211129071100.0,Local,3.0,2021-11-29 07:11:27,23.4 km NNE of Hualien County Hall,24.2,121.67,30.1,4.5,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1129-071127.html
36,20211126051500.0,Local,1.0,2021-11-26 05:15:08,87.1 km S of Taitung County Hall,21.98,121.3,65.0,4.4,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1126-051508.html
37,20211124175500.0,Local,3.0,2021-11-24 17:55:19,80.6 km E of Hualien County Hall,24.04,122.41,25.5,5.2,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1124-175519.html
38,20211124083300.0,Local,3.0,2021-11-24 08:33:47,31.5 km N of Taitung County Hall,23.04,121.15,13.2,3.5,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1124-083347.html
39,20211118150800.0,Local,2.0,2021-11-18 15:08:28,38.1 km NE of Tainan City Hall,23.25,120.43,8.8,3.6,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1118-150828.html
40,20211118113800.0,Local,1.0,2021-11-18 11:38:04,13.9 km SE of Hualien County Hall,23.89,121.7,18.1,3.3,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1118-113804.html
41,20211117102500.0,107,3.0,2021-11-17 10:25:35,42.7 km E of Yilan County Hall,24.77,122.18,5.9,5.2,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110107-1117-102535.html
42,20211114210500.0,106,3.0,2021-11-14 21:05:15,24.6 km SE of Yilan County Hall,24.58,121.94,66.7,5.3,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110106-1114-210515.html
43,20211114173800.0,Local,1.0,2021-11-14 17:38:23,56.9 km S of Hualien County Hall,23.48,121.53,43.4,4.0,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1114-173823.html
44,20211114131600.0,Local,2.0,2021-11-14 13:16:48,16.1 km WSW of Hualien County Hall,23.94,121.47,18.5,3.4,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1114-131648.html
45,20211112230500.0,Local,2.0,2021-11-12 23:05:26,32.7 km NE of Hualien County Hall,24.24,121.79,16.0,3.8,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1112-230526.html
46,20211111205900.0,Local,2.0,2021-11-11 20:59:34,36.2 km N of Tainan City Hall,23.31,120.25,10.0,3.1,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1111-205934.html
47,20211110234500.0,Far,2.0,2021-11-10 23:45:13,497.2 km ESE of Yilan County Hall,23.54,126.48,10.0,6.6,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110999-1110-234513.html
48,20211110022400.0,Local,1.0,2021-11-10 02:24:14,73.5 km E of Hualien County Hall,23.98,122.34,19.6,4.8,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1110-022414.html
49,20211109084000.0,Local,3.0,2021-11-09 08:40:49,16.6 km WSW of Hualien County Hall,23.93,121.47,19.4,3.4,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1109-084049.html
50,20211109073300.0,Local,3.0,2021-11-09 07:33:04,47.1 km NNE of Taitung County Hall,23.15,121.32,12.1,3.7,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1109-073304.html
51,20211108130300.0,Local,2.0,2021-11-08 13:03:09,36.9 km ESE of Hualien County Hall,23.83,121.94,28.2,4.4,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1108-130309.html
52,20211107192300.0,Local,2.0,2021-11-07 19:23:16,37.3 km N of Hualien County Hall,24.32,121.67,44.9,4.5,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1107-192316.html
53,20211106202400.0,Local,3.0,2021-11-06 20:24:13,41.5 km E of Chiayi County Hall,23.52,120.69,8.6,3.6,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1106-202413.html
54,20211106053500.0,Local,3.0,2021-11-06 05:35:48,18.2 km WSW of Hualien County Hall,23.92,121.46,19.6,3.4,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1106-053548.html
55,20211106015700.0,Local,3.0,2021-11-06 01:57:15,3.3 km NNW of Chiayi City Hall,23.51,120.44,7.4,3.1,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1106-015715.html
56,20211101002300.0,Local,2.0,2021-11-01 00:23:16,17.2 km S of Yilan County Hall,24.58,121.78,65.7,4.2,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1101-002316.html
57,20211028162900.0,Local,2.0,2021-10-28 16:29:17,10.0 km N of Hualien County Hall,24.08,121.64,23.1,3.4,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1028-162917.html
58,20211028144900.0,Local,2.0,2021-10-28 14:49:05,19.1 km S of Yilan County Hall,24.56,121.78,63.6,4.6,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1028-144905.html
59,20211027230000.0,Local,3.0,2021-10-27 23:00:49,91.2 km SSE of Taitung County Hall,21.98,121.45,26.2,3.6,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1027-230049.html
60,20211027203800.0,Local,3.0,2021-10-27 20:38:08,27.9 km SSW of Hualien County Hall,23.75,121.53,9.2,3.3,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1027-203808.html
61,20211027102000.0,Local,1.0,2021-10-27 10:20:07,18.2 km S of Yilan County Hall,24.57,121.78,63.5,4.1,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1027-102007.html
62,20211027100600.0,Local,2.0,2021-10-27 10:06:47,30.7 km NNW of Taitung County Hall,23.02,121.05,5.0,3.4,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1027-100647.html
63,20211026172100.0,Local,2.0,2021-10-26 17:21:16,66.9 km NE of Taitung County Hall,23.21,121.58,43.1,4.0,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1026-172116.html
64,20211025034200.0,Local,3.0,2021-10-25 03:42:46,23.6 km NE of Taitung County Hall,22.88,121.34,20.6,3.9,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1025-034246.html
65,20211025021700.0,105,3.0,2021-10-25 02:17:22,12.0 km NNW of Pingtung County Hall,22.79,120.46,25.1,4.2,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110105-1025-021722.html
66,20211024140500.0,Local,2.0,2021-10-24 14:05:11,18.6 km S of Yilan County Hall,24.57,121.79,63.0,4.2,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1024-140511.html
67,20211024131200.0,104,3.0,2021-10-24 13:12:42,16.6 km SSW of Yilan County Hall,24.59,121.72,67.3,5.4,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110104-1024-131242.html
68,20211024131100.0,103,4.0,2021-10-24 13:11:34,22.7 km S of Yilan County Hall,24.53,121.79,66.8,6.5,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110103-1024-131134.html
69,20211024123900.0,102,3.0,2021-10-24 12:38:52,8.0 km NNE of Hualien County Hall,24.06,121.64,23.8,4.5,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110102-1024-123852.html
70,20211023183200.0,101,3.0,2021-10-23 18:32:38,10.0 km NNE of Hualien County Hall,24.08,121.66,25.5,4.5,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110101-1023-183238.html
71,20211023180300.0,Local,2.0,2021-10-23 18:03:06,45.6 km ESE of Hualien County Hall,23.75,121.99,30.6,4.3,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1023-180306.html
72,20211023121600.0,Local,1.0,2021-10-23 12:16:31,12.3 km NNE of Hualien County Hall,24.1,121.65,27.7,3.5,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1023-121631.html
73,20211023112500.0,Local,2.0,2021-10-23 11:24:58,21.3 km ENE of Hualien County Hall,24.1,121.8,6.7,4.1,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1023-112458.html
74,20211023111600.0,100,4.0,2021-10-23 11:16:04,8.9 km NNE of Hualien County Hall,24.06,121.66,25.8,5.3,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110100-1023-111604.html
75,20211018165300.0,Local,1.0,2021-10-18 16:52:57,23.1 km N of Hualien County Hall,24.2,121.66,29.5,3.6,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1018-165257.html
76,20211018134900.0,099,4.0,2021-10-18 13:49:18,23.5 km NNE of Hualien County Hall,24.2,121.67,30.2,5.2,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110099-1018-134918.html
77,20211018053200.0,Local,2.0,2021-10-18 05:32:08,17.2 km NNW of Hualien County Hall,24.14,121.59,16.5,3.3,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1018-053208.html
78,20211017192300.0,Local,2.0,2021-10-17 19:23:33,86.9 km SSE of Kaohsiung City Hall,21.88,120.59,28.1,3.8,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1017-192333.html
79,20211016193800.0,Local,2.0,2021-10-16 19:38:41,33.3 km E of Nantou County Hall,23.95,121.01,12.5,3.7,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1016-193841.html
80,20211015113100.0,Local,1.0,2021-10-15 11:31:00,17.0 km SE of Yilan County Hall,24.62,121.88,58.2,3.9,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1015-113100.html
81,20211008034600.0,Local,2.0,2021-10-08 03:46:45,89.3 km SSW of Hualien County Hall,23.23,121.32,8.2,3.2,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1008-034645.html
82,20211008011300.0,Local,2.0,2021-10-08 01:13:42,37.2 km N of Hualien County Hall,24.33,121.61,24.5,3.2,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1008-011342.html
83,20211007155700.0,Local,3.0,2021-10-07 15:57:25,46.8 km NNE of Taitung County Hall,23.15,121.32,13.4,3.6,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1007-155725.html
84,20211007121800.0,Local,1.0,2021-10-07 12:18:43,81.0 km ESE of Yilan County Hall,24.56,122.54,82.0,4.9,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1007-121843.html
85,20211007112800.0,Local,2.0,2021-10-07 11:28:18,34.2 km SSW of Taitung County Hall,22.46,121.04,5.0,3.8,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1007-112818.html
86,20211007042100.0,098,4.0,2021-10-07 04:21:43,18.6 km WSW of Hualien County Hall,23.91,121.46,19.3,4.2,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110098-1007-042143.html
87,20211005222200.0,Local,2.0,2021-10-05 22:21:59,22.6 km ESE of Chiayi County Hall,23.38,120.5,7.7,3.4,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1005-222159.html
88,20211004140800.0,097,3.0,2021-10-04 14:07:50,45.4 km E of Yilan County Hall,24.77,122.21,5.0,4.8,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110097-1004-140750.html
89,20211003154400.0,Local,2.0,2021-10-03 15:44:40,50.1 km E of Yilan County Hall,24.78,122.26,8.7,4.1,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1003-154440.html
90,20211003104500.0,Local,3.0,2021-10-03 10:45:30,67.8 km NNE of Taitung County Hall,23.31,121.42,24.2,4.0,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1003-104530.html
91,20210930235500.0,Local,3.0,2021-09-30 23:55:37,64.9 km SSE of Taitung County Hall,22.23,121.43,25.5,3.8,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0930-235537.html
92,20210926062100.0,096,4.0,2021-09-26 06:21:19,37.1 km NNE of Hualien County Hall,24.32,121.69,45.0,5.7,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110096-0926-062119.html
93,20210923172800.0,Local,3.0,2021-09-23 17:28:01,22.2 km SSW of Hualien County Hall,23.81,121.52,9.4,3.4,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0923-172801.html
94,20210923122000.0,Local,3.0,2021-09-23 12:20:20,37.2 km SW of Hualien County Hall,23.72,121.41,16.5,3.5,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0923-122020.html
95,20210922170500.0,Local,2.0,2021-09-22 17:05:11,24.7 km ENE of Yilan County Hall,24.86,121.96,12.3,3.7,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0922-170511.html
96,20210919124600.0,Local,1.0,2021-09-19 12:46:03,55.9 km E of Yilan County Hall,24.73,122.32,96.8,4.9,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0919-124603.html
97,20210916175100.0,Local,1.0,2021-09-16 17:51:18,22.2 km SSW of Hualien County Hall,23.81,121.53,46.7,3.7,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0916-175118.html
98,20210916174700.0,Local,2.0,2021-09-16 17:46:54,1.8 km E of Chiayi City Hall,23.48,120.47,7.0,3.2,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0916-174654.html
99,20210916164200.0,Local,2.0,2021-09-16 16:42:15,36.3 km N of Taitung County Hall,23.08,121.16,7.3,3.0,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0916-164215.html
100,20210915185100.0,095,3.0,2021-09-15 18:50:53,51.1 km NNE of Taitung County Hall,23.16,121.39,20.6,4.5,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110095-0915-185053.html
101,20210915114600.0,Local,2.0,2021-09-15 11:45:50,27.3 km ENE of Yilan County Hall,24.83,122.01,10.1,3.6,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0915-114550.html
102,20210914125000.0,Local,3.0,2021-09-14 12:50:13,68.0 km S of Taitung County Hall,22.15,121.07,9.2,3.9,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0914-125013.html
103,20210913184100.0,094,4.0,2021-09-13 18:41:27,40.9 km ENE of Nantou County Hall,24.12,121.02,46.9,5.6,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110094-0913-184127.html
104,20210913080300.0,Local,2.0,2021-09-13 08:03:34,48.4 km N of Taitung County Hall,23.19,121.09,5.4,3.3,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0913-080334.html
105,20210911230400.0,Local,2.0,2021-09-11 23:03:50,28.9 km NNW of Taitung County Hall,23.0,121.05,6.0,3.6,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0911-230350.html
106,20210911195100.0,Local,4.0,2021-09-11 19:51:03,28.5 km NE of Taitung County Hall,22.96,121.31,7.1,2.9,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0911-195103.html
107,20210911013900.0,Local,3.0,2021-09-11 01:39:45,27.8 km SSW of Hualien County Hall,23.77,121.48,9.1,3.9,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0911-013945.html
108,20210910134500.0,Local,2.0,2021-09-10 13:45:04,47.4 km ESE of Hualien County Hall,23.86,122.06,37.8,4.8,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0910-134504.html
109,20210908001900.0,Local,2.0,2021-09-08 00:19:11,37.5 km SE of Yilan County Hall,24.48,122.01,24.9,4.3,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0908-001911.html
110,20210906220000.0,093,4.0,2021-09-06 22:00:26,49.4 km ESE of Hualien County Hall,23.85,122.08,41.7,5.9,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110093-0906-220026.html
111,20210905085400.0,Local,2.0,2021-09-05 08:54:27,36.9 km NE of Tainan City Hall,23.26,120.39,12.1,3.4,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0905-085427.html
112,20210904123700.0,Local,2.0,2021-09-04 12:37:08,46.9 km SE of Yilan County Hall,24.37,122.01,25.7,4.5,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0904-123708.html
113,20210903121700.0,Local,4.0,2021-09-03 12:17:41,41.0 km ENE of Tainan City Hall,23.17,120.53,5.0,3.7,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0903-121741.html
114,20210903000700.0,Local,4.0,2021-09-03 00:07:20,96.6 km SSW of Hualien County Hall,23.17,121.3,6.2,3.3,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0903-000720.html
115,20210902190900.0,Local,2.0,2021-09-02 19:09:23,42.3 km ENE of Tainan City Hall,23.17,120.55,4.7,4.4,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0902-190923.html
116,20210902185700.0,092,3.0,2021-09-02 18:56:59,43.7 km ENE of Tainan City Hall,23.2,120.55,4.7,4.7,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110092-0902-185659.html
117,20210902134100.0,Local,3.0,2021-09-02 13:41:18,29.4 km NNW of Taitung County Hall,23.01,121.06,6.6,3.9,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0902-134118.html
118,20210901062800.0,091,4.0,2021-09-01 06:27:56,83.1 km NNE of Kaohsiung City Hall,23.27,120.72,12.3,4.9,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110091-0901-062756.html
119,20210830174700.0,Local,2.0,2021-08-30 17:47:26,24.7 km ESE of Yilan County Hall,24.66,121.99,63.0,4.5,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0830-174726.html
120,20210830160000.0,Local,1.0,2021-08-30 16:00:13,12.8 km WNW of Hualien County Hall,24.06,121.52,22.6,3.2,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0830-160013.html
121,20210824105500.0,Local,2.0,2021-08-24 10:55:20,16.5 km WSW of Hualien County Hall,23.93,121.47,19.6,3.4,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0824-105520.html
122,20210824060300.0,Local,3.0,2021-08-24 06:03:45,39.4 km SSE of Nantou County Hall,23.58,120.85,7.6,3.6,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0824-060345.html
123,20210823185600.0,Local,2.0,2021-08-23 18:56:38,49.2 km E of Yilan County Hall,24.75,122.25,10.2,4.6,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0823-185638.html
124,20210822195200.0,090,4.0,2021-08-22 19:52:01,44.7 km ENE of Tainan City Hall,23.17,120.58,13.6,4.7,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110090-0822-195201.html
125,20210821215900.0,Local,3.0,2021-08-21 21:59:42,16.6 km S of Yilan County Hall,24.58,121.79,5.0,3.2,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0821-215942.html
126,20210819233400.0,089,4.0,2021-08-19 23:34:32,2.4 km SSE of Hualien County Hall,23.97,121.63,5.0,4.0,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110089-0819-233432.html
127,20210819231200.0,088,4.0,2021-08-19 23:12:50,4.9 km SSW of Hualien County Hall,23.95,121.6,5.0,4.2,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110088-0819-231250.html
128,20210819160400.0,Local,4.0,2021-08-19 16:04:23,6.2 km S of Hualien County Hall,23.94,121.62,5.0,3.5,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0819-160423.html
129,20210819155100.0,087,4.0,2021-08-19 15:50:55,6.0 km SSE of Hualien County Hall,23.94,121.63,5.0,4.5,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110087-0819-155055.html
130,20210819154600.0,Local,4.0,2021-08-19 15:46:39,6.0 km S of Hualien County Hall,23.94,121.63,5.1,3.6,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0819-154639.html
131,20210819074400.0,Local,2.0,2021-08-19 07:44:05,46.2 km E of Chiayi County Hall,23.44,120.74,5.8,3.3,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0819-074405.html
132,20210818032200.0,086,2.0,2021-08-18 03:22:31,45.2 km ESE of Nantou County Hall,23.72,121.09,33.7,4.4,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110086-0818-032231.html
133,20210816064400.0,Local,3.0,2021-08-16 06:44:35,15.4 km N of Tainan City Hall,23.13,120.19,13.7,3.1,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0816-064435.html
134,20210813143700.0,Local,3.0,2021-08-13 14:36:51,14.8 km S of Hualien County Hall,23.86,121.64,5.0,3.7,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0813-143651.html
135,20210813142400.0,Local,3.0,2021-08-13 14:23:55,14.7 km S of Hualien County Hall,23.86,121.64,6.4,3.9,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-0813-142355.html
